EmissionID;OrganisationName;Year;TotalEmissions;GasesIncluded;ChangeFromLastYear;ReasonForChange;Scope1;Scope2;Comments;GDP;GDPCurrency;YearOfGDP;GDPSource
11;City of Melbourne;2016;4372420;CO2 PFCs CH4 SF6 N2O HFCs;Decreased;2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.;785326;3587094;;90600000000;AUD Australian Dollar;2015;http://melbourne.geografia.com.au/
12;Aarhus Kommune;2016;1900;CO2;;;;;;;;;
13;City of Richmond, VA;2016;3152498;CO2;Decreased;increases in efficiency, increased usage of natural gas;1470127;1682371;;70491000000;;2014;http://www.bea.gov/itable/iTable.cfm?ReqID=70&step=1#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=40060&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels (this is metro area and not city specific)
14;City of Las Vegas;2016;29657130;CO2;Increased;The population of Las Vegas has stayed fairly constant in the last 5 years.  Population dropped slightly after the recession, but has increased past 2009 levels.  Community emissions targets are not as rigidly defined as the municipality's, so reductions in GHG emissions are not as pronounced.;11002925;18654205;;94521;USD US Dollar;2014;http://cber.unlv.edu/CCEconData.html
15;New York City;2016;49385508;CO2 CH4 SF6 N2O;Increased;The most significant driver was a colder winter in 2014 relative to 2013 which increased heating fuel use.;20995619;16888770;;1,55852E+12;USD US Dollar;2015;http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor
16;City of Warsaw;2016;11721774;CO2;Decreased;Reduction of CO2 emission was caused by lower consumption of heat and electricity for buildings which may have been caused by investments in thermal retrofitting of buildings, reduction of energy use due to higher social awareness (due to SEAP educational campaigns) and warmer winter.;7930452;3791322;;30041;;2013;Central Statistical Office of Poland
17;City of Toronto;2016;18320966;CO2;Decreased;"a.  Eliminating the use of coal in the electricity mix which facilitated substantive per capita reductions in energy consumption							
b.  Significantly reducing the amount of waste going to landfill, and therefore, the amount of methane gas generated							
							
Our transportation emissions have remained the same because we have not been able to update this data for the year 2012 and so we used the same data from 2011 for our inventory.";16151019;2169947;;1,573E+14;CAD Canadian Dollar;2013;http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=41e067b42d853410VgnVCM10000071d60f89RCRD&vgnextchannel=57a12cc817453410VgnVCM10000071d60f89RCRD
18;Birmingham City Council;2016;5199.7;CO2;Decreased;Total CO2 emissions decreased between 2012 and 2013 by 3.2%. The reduction is consistent with the decrease in overall UK emissions from 2012 to 2013. The main drivers of the decrease in UK emissions in 2013 were a decrease in the use of coal and gas for electricity generation. This reflects the decrease in overall emissions for the UK during this period driven mainly by reductions in emissions from power stations, industrial combustion and passenger cars. The reduction from power stations is driven by change in the fuel mix used for electricity generation with a reduction in the amount of coal which is a carbon intensive fuel. The reduction in industrial combustion is largely driven by the closure or reduced activity of industrial plants, a large portion of which occurred during 2009 likely due to economic factors.;;;;84000000000;GBP Pound Sterling;2014;"""Global city GDP 2014"". Brookings Institution. Retrieved 18 November 2014."
19;City of Cardiff;2016;2128000;CO2;Decreased;Main reduction in industry / commercial emissions but also some decrease in domestic emissions;;;;;;;
20;Municipality of Curitiba;2016;3036279;"CO2 PFCs CH4	SF6 N2O NF3 HFCs";Increased;The main difference on the increase of  GEE emissions is on the energy sector not by an increase of consumption but because of an increse on emission factors due to the use o thermoelectric plants. In 2012 the annual national average emission factor was 0,0653 T/CO 2e by MWh produced, while in 2013 the factor increased by 30% to 0,0963 T/CO2e by MWh produced .;2686488;349791;;79400000000;BRL Brazilian Real;2013;http://www.agencia.curitiba.pr.gov.br/publico/conteudo.aspx?codigo=39
21;City of Cape Town;2016;22643846;CO2 CH4 N2O;Decreased;The City of Cape Town does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).;9783734;12860112;;2467976;USD US Dollar;2014;Economic Performance Indicators for Cape Town
22;City of Edmonton;2016;16576702;CO2 CH4 N2O;Increased;"The changes from the 2013 dataset are as follows:Residential increased slightly, likely due to an increase in about 9,000 customers over the year, commercial increased energy consumption possibly due to a slight expansion in numbers, industrial showed a small decrease in emissions but we can't determine why, it was very much the same as 2013 values. All the vechicle fuel consumption numbers: gasoline, diesel, propane, natural gas for vehicles were very much the same as for 2013, ""Other"" emissions went up slightly due to an increase in some industrial sector emission due to production increases. Overall, total EMISSIONS in 2014 went up by 3.3% over 2013.";10215142;6361560;;45969000000;CAD Canadian Dollar;2014;Edmonton Chief Economist - Real GDP at Market Prices in 2007 dollars
23;District of Columbia;2016;7386407;CO2 CH4 N2O;Increased;Emissions increased 2.3% from 2012 to 2013 due primarily to a colder winter and resulting increase in energy consumption for heating purposes. 2013 emissions have been updated from what was previously reported in order to reflect updated emission factors for grid electricity now available from the U.S. EPA. (EGrid 2012).;3132786;4253621;;1,16378E+11;USD US Dollar;2014;U.S. Bureau of Economic Analysis
24;Basel-Stadt;2016;885878;CO2 CH4 N2O;Decreased;;;;;30864000000;CHF Swiss Franc;2012;Bundesamt fÃ¼r Statistik (BFS): Volkswirtschaftliche Gesamtrechnung
25;Bogor City Government;2016;2193642;CO2 CH4 N2O;Increased;due to population growth, transportation and economic activity;2193642;;;1,17412E+14;IDR Rupiah;2014;Central Statistic Bureau
26;City of Turku;2016;1107500;CO2 CH4 N2O;Stayed the same;Most sectors decreased, but the emission factor for electricity increased in Finland.;421200;686300;;8700000000;USD US Dollar;2012;Statistics Finland
27;City of Boston;2016;6066182;CO2 CH4 N2O;Decreased;Overall GHGs decreased by about 2,000 metric tonnes, or 0.03%. This could be in part because there was only a small increase in heating degree days (HDD) from 2013 to 2014 (6.5%), and natural gas used declined more than 4.5%. Meanwhile the electricity emissions factor fell by a few points, while electricity use increased only 1.2%.;3603270;2462912;;1,03067E+11;USD US Dollar;2015;Boston Redevelopment Authority analysis using data from the Bureau of Economic Analysis and the National Bureau of Economic Research
28;City of Flagstaff;2016;1211617.47;CO2;Stayed the same;City is growing at very slow rate, so emissions have not changed considerably over past three years of measuring.;621293.07;590324.4;;4801000000;USD US Dollar;2010;U.S. Department of Commerce
29;Gemeente Rotterdam;2016;31512000;CO2;Increased;The total amount of CO2-emission in Rotterdam in 2014 has increased compared to the 2013-emissions. 31512000 tonnes in 2014 compared to 29524000 in 2013 (updated figure). Refineries and especially energy generation have increased their emissions substantially.;30011000;1501000;;;;;
30;Municipality of Belo Horizonte;2016;3241713;CO2 CH4 N2O;Increased;Emissions keeps the growth rate of approximately 5% per year, following the trend projected into the 'business as usual' despite of efforts aimed at its reduction made so far;2804787;436925;;81426708;BRL Brazilian Real;2013;IBGE
31;Kaohsiung City Government;2016;58755764.13;CO2 PFCs CH4 SF6 N2O HFCs;Stayed the same;The city administrative area emissions is gentlely decreasing, and total emissions reduction range is 0.11%.;43502687.67;15253076.46;;5,24493E+11;USD US Dollar;2015;http://0rz.tw/mT92O
32;New Taipei City Government;2016;17233924;CO2 PFCs CH4 SF6 N2O HFCs;Increased;Population growing and new regulation on emissions reporting for high carbon-density industries.;6149934;11083990;;5,30043E+11;USD US Dollar;2014;Gross Domestic Product by Expenditures, National Statistics, R.O.C (Taiwan) (2016)
33;Municipalidad de La Paz;2016;1426533.8;CO2 PFCs CH4 SF6 N2O HFCs;This is our first year of calculation;Esperamos que con la implementaciÃ³n de algunas lÃ­neas de acciÃ³n que se fueron adoptando a lo largo de este tiempo, se haya avanzado en la disminuciÃ³n de la huella de carbono y huella hÃ­drica;1152922.4;273611.4;;;BOB Boliviano;2013;Instituto Nacional de EstadÃ­stica
34;RegiÃ³n Metropolitana de Santiago;2016;23120027.8;CO2 CH4 N2O;This is our first year of calculation;This is the firs GHG inventory for the Metropolitan Region of Santiago.;23120027.8;8306669;;1,25302E+11;USD US Dollar;2013;Central Bank of Chile
35;City Government of Makati;2016;1660370;CO2 CH4 N2O;Increased;"Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons:	a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained. b. With the increasing population, waste generation also increases. c. Increased construction and development projects are also observed leading to increased in the demand for energy. d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads.";462586;1197784;;;PHP Philippine Peso;2015;Budget of Expenditures and Sources of Financing NEDA
36;CommunautÃ© urbaine du Grand Nancy;2016;2150000;CO2 PFCs CH4 SF6 N2O HFCs;;;;;;;EUR Euro;2015;
37;City of Lakewood;2016;1727860;CO2 CH4 N2O;Decreased;We only have a single GHG inventory however our projections indicate a decrease based on the following reasoning: While the City of Lakewoodâ€™s population and material sector emission factors have increased annually, the emission factors for electricity and transportation have decreased annually as a result of the State of Coloradoâ€™s Renewable Portfolio Standard and improvements to vehicle fuel efficiency required by the Federal CAFE standards. (See attachment: BAU determination);553900;1173960;;;;;
38;City of Knoxville;2016;3999874;CO2 CH4 N2O;Decreased;Energy consumption in 2012 fell in the residential and commercial sectors by approximately 2% and 13% respectively, relative to 2005. Energy use for transportation decreased over 3.5%, largely due to improvements in the average fuel economy of vehicles. In addition to energy savings, changes to the Tennessee Valley Authorityâ€™s (TVA) electricity production portfolio also contributed to emissions reductions, as multiple coal-fired power plants were retired, retrofitted, or replaced by natural gas, nuclear, and renewable sources of energy in recent years.;2061435;1938439;;37487000000;USD US Dollar;2014;"US Department of Commerce Bureau of Economic Analysis	 http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=28940&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels"
39;City of Roanoke;2016;1971679;CO2 CH4 N2O;Decreased;The city uses a 2005 baseline and the community emissions have decreased 13.5%. In 2014 emissions are down 4% from 2013. The primary driver of this loss is the reduction of coal in the electric fuel mix.;;;;13900000000;USD US Dollar;2014;www.roanokeva.gov
40;City of Baltimore;2016;7579144;CO2;;;;;;4,37E+13;USD US Dollar;2014;National Association of Counties/U.S. Bureau of Economic Analysis
41;City of Oakland;2016;2733664;CO2 CH4 N2O;Increased;We have decreased since our baseline year of 2005 but increased since the last inventory year of 2010. 2010 experienced an artificial low due to the economic recession.;578560;368019;;2,408E+13;USD US Dollar;2013;US Bureau of Economic Analysis San Francisco-Oakland-Hayward Metropolitan area
42;Jakarta City Government;2016;27780000;;Decreased;"- Commitment to Reduce the Greenhouse Gas Emissions 							
							
- Jakartaâ€™s commitment to reduce greenhouse gas     emissions, the target to cut emissions by 30% by 2030  will be applied. The greenhouse gas emisions target is based upon the base line of emision in ";;;;;;2015;Central Statistics Agency (BPS)
43;Prefeitura de FlorianÃ³polis;2016;1450465;CO2 PFCs CH4 SF6 N2O HFCs;Increased;A diferenÃ§a de emissÃµes entre os anos Ã© de 601.421 tCO2e, ou seja, houve um acrÃ©scimo de 42% em 2013 se comparado Ã  2010. Os setores de maior contribuiÃ§Ã£o foram AFOLU, que deixou de sequestrar 6% e Transportes que passou a emitir 3% a mais.;1305206;145259;;8787850000;USD US Dollar;2013;IBGE
44;City of Philadelphia;2016;19212870.06;CO2 PFCs CH4 SF6 N2O HFCs;Decreased;See www.phila.gov/green for 2012 Citywide Inventory Report (published Spring 2015) which discusses in-depth trends for the City's carbon emissions.;12397594.06;6815276;;3,64E+11;USD US Dollar;2012;Bureau of Economic Analysis
45;Stadt Heidelberg;2016;879900;CO2;Decreased;"Emissions decreased from 1987 until 2009							
Emissions increased from 2009 until 2011";;;;7635000000;EUR Euro;2011;
46;Municipality of Recife;2016;1883;CO2 CH4 N2O;This is our first year of calculation;This is our first inventory.;;;;10837028;;2011;IBGE
47;City of BrasÃ­lia;2016;773983;CO2 PFCs CH4 SF6 N2O HFCs;Increased;"Considerando-se as EmissÃµes de GEE por setor para o DF (emissÃµes totais) no perÃ­odo de 2005-2012, as emissÃµes tÃªm aumentado em todos os setores avaliados. De acordo com a anÃ¡lise, os setores Energia e ResÃ­duos apresentaram variaÃ§Ã£o crescente ao		
longo de todos os perÃ­odos de anÃ¡lise. Para o setor IPPU, apenas a comparaÃ§Ã£o 2005-2008 apresentou resultados menores do que o perÃ­odo anterior (2005-2007), com nova tendÃªncia de aumento nos demais intervalos subsequentes (devido Ã  reduÃ§Ã£o da produÃ§Ã£o de cimento em 2008 e retomada da produÃ§Ã£o nos anos seguintes).							
JÃ¡ AFOLU apresentou intervalos irregulares de variaÃ§Ã£o positiva e negativa ao longo do perÃ­odo, com valores negativos para os intervalos 2005-2006, 2005-2008, 2005-2009 e 2005-2010. No ano de variaÃ§Ã£o positiva (2005-2007) as categorias mais representativas em emissÃµes no setor AFOLU (Calagem e EmissÃµes da queima de biomassa) tambÃ©m tiveram variaÃ§Ã£o positiva nesse mesmo perÃ­odo.";7739830000;;;171235;BRL Brazilian Real;2012;Produto Interno Bruto do Distrito Federal. CODEPLAN
48;University City, MO;2016;501147;CO2 CH4 N2O;This is our first year of calculation;;165762;234882;;;;;
49;Vilnius City Municipality;2016;1994560;CO2 PFCs CH4 N2O HFCs;Decreased;Increased wooden biomass utilization in Energy sector for the central heating.;1994560;;;;;;
50;City of San Diego;2016;12624227;;Stayed the same;"Emissions did not change much from 2008 (12.83 MMT) to 2009 (12.62 MMT). Residential, commercial, & industrial electricity use were all down slightly residential & commercial natural gas use were down slightly	 gasoline use & vehicle miles traveled increased slightly.";;;;2,06817E+11;USD US Dollar;2014;https://en.wikipedia.org/wiki/List_of_cities_by_GDP
51;Faro;2016;265.85;CO2;Stayed the same;The data was collected in 2010;128;138;;13231;EUR Euro;2013;INE(2013) Estudo do poder de compra
52;Santiago de Guayaquil;2016;6787374;CO2 CH4 N2O;This is our first year of calculation;;5429899;1357475;;5862;;2014;Banco Central del Ecuador, INEC (2010), Municipio de Guayaquil
53;Metropolitan Municipality of Lima;2016;15432105;CO2 CH4 N2O;This is our first year of calculation;;12378734;15432105;;;;;INEI
54;City of Amsterdam;2016;4471000;CO2;Decreased;The decrease is very slight (<0,1%). An exact reason cannot be given. It probably has to do with the fact that outdoor temperatures were lower in 2015 than in 2014 and an increase of economical activity. Despite these curcumstances it is a decrease of emissions. This can be an indication that climate policies have a positieve affect, though not very strong.;;2310000;;50047000000;EUR Euro;2013;Rapport Economische Verkenningen MRA 2015, blz 97. (Amsterdam Metropolitan Area)
55;Greater London Authority;2016;40190000;CO2 CH4 N2O;Increased;London's absolute CO2 emissions decreased slightly in 2013 on 2012 levels. As London reports its CO2 emissions as non weather-corrected, the decrease in 2013 may be partially due to a milder winter in 2013 compared to 2012, and therefore a higher number of heating degree days in 2012 compared to 2013. The use of coal in electricity generation also decreased at the national level. London's emissions fell by 11% on 1990 levels, and, significantly, despite an unprecedented increase in London's population, London's per capita emissions remain the UK's lowest at 4.8 tonnes.;20620000;19570000;;4,9155E+11;USD US Dollar;2014;An indicative value for London's GDP has been estimated from 2014 per capita data ($57,157) published by Brookings (http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor)
56;City of Dallas;2016;17229388;CO2 CH4 N2O;Decreased;Increased use of renewable sources of electricity and on-site energy production.;119881;17109507;;98746000000;USD US Dollar;2013;City of Dallas Economic Development
57;City of Zaragoza;2016;1785603.75;CO2;Decreased;"Fundamentalmente, las medidas adoptadas en las estrategias anteriormente citadas han conseguido una importante reducciÃ³n de las emisiones en los sectores contemplados en el Pacto de Alcaldes: residencial y movilidad. Y ello tanto en el Ãºltimo aÃ±o como desde 2015.							
Por su parte, el sector industrial ha reducido sus emisiones en el Ãºltimo aÃ±o aunque, desde 2005 estas han aumentado, Aparte de la influencia de determinadas actuaciones del Ayuntamiento (Plan de Acuerdos voluntarios) la crisis econÃ³mica ha frenado en parte el incremento de las emisiones en este sector.";;613341.01;;33793459000;EUR Euro;2015;provisional
58;Hoeje-Taastrup Kommune;2016;297000;CO2;Decreased;From 390.000 ton CO2 in 2009. Energy conservation activities, conversion from oil and electricity heating to district heating, less fossil fuel in the combined heat and power production as well as in the district heating;173000;124000;;3402000000;USD US Dollar;2012;Danmarks Statistik
59;City of Albany;2016;1217091;CO2 PFCs CH4 SF6 N2O HFCs;Other;Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.;369654;553094;;49621;USD US Dollar;2013;U.S. Bureau of Economic Analysis
60;Prefeitura de Palmas;2016;625391.59;CO2 CH4 N2O HFCs;This is our first year of calculation;;589055.31;36336.28;;899887;BRL Brazilian Real;2016;
61;City of Oslo;2016;1340422;CO2 CH4 N2O;Increased;We havn`t used the full GPC-methodology for more than one year so we can`t tell if the emissions have increased or decreased. But due to the numbers from Statistics Norway, we can conclude that there has been a slight increase. The main reason is growth in emissions from Off road-transportation. Emissions from stationary energy use in residential, commercial and institutional buildings have decreased.;1094422;246000;;4,58449E+11;NOK Norwegian Krone;2013;Statistics Norway
62;Comune di Venezia;2016;1418344;CO2;Stayed the same;Our BEI is based on 2005. Unfortunately, we have not a more updated inventory so that's why we consider that our emissions have no change. Next update is scheduled for the end of 2014 and will be liely based on 2012 or 2013.;955471;462872;;1,46605E+11;EUR Euro;2012;ISTAT - this data is referred to whole Veneto Region (4881756 inhabitants)
63;City of North Vancouver;2016;196840;CO2 CH4;This is our first year of calculation;This is the first year the City has completed its community emissions inventory for the CDP. Previous community emissions inventories completed by the City and the Province (2007, 2010) of BC have shown a decrease in emissions due to a reduction of natural gas consumption in the building sector.;;;;;;;
64;Town of Ajax, ON;2016;538836;CO2;Increased;Emissions have increased as the population of the Town has increased since 2008 from 103,855 to 130,335 people in 2016.;6354;;;;CAD Canadian Dollar;;
65;City of Seattle;2016;5222000;CO2 CH4 SF6;Decreased;"The total amount of GHGs emitted from the core emissions sources has declined 6% between 2008 and 2014, from 3.7 to 3.5 million metric tons of CO2-equivalent (CO2e).  However, Seattleâ€™s population grew by 13% in the same period resulting in a per person decline in emissions of 17%.					
Road transportation has been the largest category of emissions since 1990. Total emissions in this sector increased between 1990 and 2008, however, they have been decreasing since 2008. Advances in vehicle technology, plus a trend towards fewer vehicle miles travelled per person, have led both to decreased absolute emissions from road transportation (down 2% since 2008) and decreased emissions per person (down 13% during this period).							
Between 2008 and 2014, building-related emissions declined as a result of lower overall building energy use, particularly for residential buildings, due to energy efficiency, more multi-family living, and especially by warmer weather that reduced winter heating needs.							
							
This decline, though modest, is more impressive considering Seattleâ€™s population and economy have grown considerably since 1990.  On a per resident basis, Seattleâ€™s emissions declined  22% per since 1990 and 6% since 2008.							
							
A number of factors led to emissions decreases that counteracted the effect of population and economic growth, especially (as already noted) the decrease in carbon intensity of Seattle City Lightâ€™s electricity, more efficient cars and trucks, and building efficiency (including smaller dwellings) and fuel switching.  Increased efficiency of air travel also contributed to a decrease in GHG emissions.";;72000;;3,00827E+11;USD US Dollar;2014;US Dept Commerce for Seattle-Tacoma-Bellevue region
66;Seoul Metropolitan Government;2016;47612664;CO2 PFCs CH4 SF6 N2O HFCs;;;25082520;22530144;;3,27602E+14;KRW South Korean Won;2014;Korean Statistical Information Service
67;Mexico City;2016;23655110.96;CO2 CH4 N2O HFCs;Decreased;"Emissions Inventory has a reduction of  4% due to:				
â€¢ Lower consumption of fossil fuels in the residential sector							
â€¢ Emission factor from grid-supplier energy consumed was actualize in 2012 it was 0.652 t CO2/MWh, now for 2014 Emissions Inventory itÂ´s 0.49 t CO2 /MWh.							
â€¢ The percentage to estimated emission by distribution losses from grid supplied changed from 16.6% in 2012 to 13.85% in 2014.							
â€¢ Scope 3 emissions are higher becasuse the freight transport increased. We use vehicular traffic counts published by  the SecretarÃ­a de Comunicaciones y Transportes to know the number of vehicles entering and leaving to Mexico City, comparing  2012 vs 2014: Heavy trucks +28%,  tractor units +42%, private vehicles +8% 							
â€¢ On the last inventory report (2012) we estimated the emissions from closed landfills (scope 1 and 3), now we estimated the residual emissions from closed landfills and active ones (newly open 2-3 years), as well as emissions from unmanaged landfills, like open dumpsites.	 because of that, the 2014 emissions are bigger than 2012.						
â€¢For water treatment in  2014 inventory we did a TOW (Total Organics in Wastewater) update for untreated wastewater, and we adjusted the TOW according to the type of treatment systems plants wastewater reported for 2014.";16842493.45;6812617.51;;2,58221E+12;MXN Mexican Peso;2014;INEGI
68;City of Helsinki;2016;2789724;CO2 CH4 N2O;Decreased;"Energy efficiency has improved in buildings and vehicles. National grid electricity produces less CO2 emissions than before. Traffic fuel mix includes more CO2-neutral fuels.					
Long term: Less coal in district heating, waste management has improved, industry has decreased.";2096206;2789724;;;;;
69;Addis Ababa City Administration;2016;3708292;CO2 CH4 N2O;This is our first year of calculation;lack of capacity;3708292;;;;ETB Ethiopian Birr;;
70;Prefeitura do Rio de Janeiro;2016;20268045;CO2 CH4 N2O;Increased;"The numbers presented here are from the same inventory reported to CDP last year. However, since it was submitted to external verification and the numbers were reviewed according to the recommendations of the verifier there was just a slight increase due to this review.					
In comparison to the last Inventory made for the city, which has 2005 as the base year, there was a significant increase in emissions (around 75%) mainly due to the start of operations in 2010 of a new steel mill plant inside the city border, TKCSA.";16171534;4096511;;2,82539E+11;BRL Brazilian Real;2013;IBGE
71;Dublin City Council;2016;2942349;CO2;This is our first year of calculation;;;;;29018660000;EUR Euro;2011;Brookings Institution
72;Landeshauptstadt Magdeburg;2016;1400000;CO2;;;;;;;;;
73;Comune di Bologna;2016;2270524.7;CO2;Decreased;Main cause is the economic crisis, secondary are actued mitigation actions;;;;37033;;2010;Bologna Chamber of Commerce
74;MunicÃ­pio de Ãgueda;2016;258882;;;;;;;;;;
75;Taipei City Government;2016;14957404;CO2 CH4 N2O;Increased;The greenhouse gas emissions of Taipei City in 2014 were 14,546,000 metric tons. The greenhouse gas emissions of the City present a rising tendency in 1998-2008. The increasing tendency slowed down and began to decline since the 2008. Due to the operation commencement of Mass Rapid Transit (MRT) Xinyi Line and Songshan Line and because the global average temperature in 2014 was 0.69â„ƒ higher than that of previous years, the electricity consumption increased slightly by 0.52% compared to that in 2013. Thus the overall greenhouse gas emissions in 2014 increased compared to that in 2013;;8463811;;;;;
76;City of Palo Alto;2016;152631;CO2 CH4 N2O;Decreased;Natural gas consumption was lower for residential and commercial customers. Modeled transportation emissions flat (no change in model inputs). Waste related emissions down.;152631;;;;;;
77;Stadt ZÃ¼rich;2016;1822367;CO2 PFCs CH4 SF6 N2O NF3 HFCs;Stayed the same;The course of greenhouse gas emissions since 2008 is more or less constant. We assume that the positive effects of modernizing insulation of buildings are mostly compensated  by increased demands for comfort (e.g. higher room temperatures, larger living spaces, longer heating periods).;;;;1,424E+11;CHF Swiss Franc;2012;Statistischen Amt des Kantons ZÃ¼rich
