AssessmentID;OrganisationName;Assessment;YearOfPublication;BoundaryOfAssessment;Access
17;Municipality of Braga;00_EMAAC_Braga.pdf, 01_EMAAC_Braga_Anexos.pdf;2016;Same - covers entire jurisdiction and nothing else;public
18;City of Milan;https://www.contrattidifiume.it/.galleries/Pubblicazioni-team-CdF/Ambito-Lambro-Urbano.-PSS-Lambro-Settentrionale.pdf;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: River Basin Area (River Lambro);public
19;Presidencia Municipal de Saltillo;http://implansaltillo.mx/PACMUN-Saltillo.pdf;2021;Same - covers entire jurisdiction and nothing else;public
20;City of Piedmont, CA;http://piedmont.hosted.civiclive.com/common/pages/DisplayFile.aspx?itemId=15970372;2019;Same - covers entire jurisdiction and nothing else;public
21;Metropolitan Government of Nashville and Davidson County, TN;Draft Adaptation and Resilience Report;2021;Same - covers entire jurisdiction and nothing else;public
22;Municipalidad de Quilicura;Estrategia HÃ­drica Local_Quilicura.pdf, PLCC Quilicura-Observaciones Asur.pdf;2019;Same - covers entire jurisdiction and nothing else;public
23;Hutt City Council;https://www.gw.govt.nz/document/1141/wellington-regional-coastal-vulnerability-assessment;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: neighbouring councils (ie districts and cities);public
24;Ville de Kinshasa; ;2018;Same - covers entire jurisdiction and nothing else;public
25;Can Tho City;https://sti.vista.gov.vn/file_DuLieu/dataTLKHCN//CVv420/2017/CVv420S12017088.pdf;2017;Same - covers entire jurisdiction and nothing else;public
26;Probolinggo;City sanitation strategy.pdf;2022;Same - covers entire jurisdiction and nothing else;public
27;Greater Manchester Combined Authority;www.greatermanchester-ca.gov.uk/media/4542/greater-manchester-resilience-strategy-2020-2030.pdf;2021;Same - covers entire jurisdiction and nothing else;public
28;City of Saint Paul, MN;https://www.ramseycounty.us/sites/default/files/Departments/Public%20Health/ccva_final.pdf;2016;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Ramsey County;public
29;Canberra;https://www.environment.act.gov.au/__data/assets/pdf_file/0019/1316521/Longitudinal-Survey-ACT-Resilience-to-Climate-Change-Report.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: It covers the area of Government responsibility (the Australian Capital Territory) and areas adjacent to the ACT but in the neighbouring state of New South Wales.;public
30;Tagum City;Tagum City Smart ICT Masterplan 2023-2028.pdf;2023;Same - covers entire jurisdiction and nothing else;public
31;Siliguri Municipal Corporation;CRCAP_siliguri.pdf;2018;Same - covers entire jurisdiction and nothing else;public
32;City of Boulder, CO;https://bouldercolorado.gov/media/146/download?inline;2018;Same - covers entire jurisdiction and nothing else;public
33;Nottingham City Council;ADAPTATION_ACTION_PLAN.pdf;2011;Same - covers entire jurisdiction and nothing else;public
34;Municipality of Ãgueda;IrRADIARE_agueda_paesc_volume_III.pdf, IrRADIARE_Agueda_paesc_volume_IV.pdf, IrRADIARE_agueda_pasec_volume_I.pdf, IrRADIARE_agueda_pasec_volume_II.pdf;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: O estudo e plano cobre a totalidade da Ã¡rea concelhia, extrapolando o limite urbano da cidade de Ãgueda. Na medida em que o uso de energia em Ãgueda (e.g. transportes) afeta as juristiÃ§Ãµes vizinhas, este estudo indiretamente trata tambÃ©m disso.;public
35;Prefeitura da Cidade de SÃ£o JosÃ© do Rio Preto;plano-local-de-resiliencia-sao-jose-do-rio-preto-pt - 2019-2022.pdf;2019;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Para o Plano de ResiliÃªncia, foram consideradas as Ã¡reas de risco jÃ¡ canhecidas, inicialmente, possibilitando dessa maneira a resiliÃªncia frente a essas situaÃ§Ãµes.;public
36;City of Toronto, ON;https://trca.ca/conservation/flood-risk-management/flood-plain-map-viewer/;1990;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Ontario municipalities participate in Conservation Authorities, entities delineated by watersheds not political boundaries.;public
37;Jakarta City Government;https://lingkunganhidup.jakarta.go.id/files/Rencana_Induk_Pengelolaan_Keanekaragaman_Hayati_Jakarta.pdf;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Termasduk kawasan Konservasi Nasional yang berada di wilayah DKI Jakarta;public
38;City of Windsor, ON;https://www.citywindsor.ca/residents/Construction/Environmental-Assessments-Master-Plans/Documents/West%20Windsor%20Report%20-%20Final_Mar.pdf;2023;Smaller - covers only part of the jurisdiction, please explain exclusions: Covers low lying areas in West Windsor;public
39;Cotswold District Council;https://www.cotswold.gov.uk/media/8d8eab9716634de/cdc-climate-emergency-strategy-adopted-2020_09_23.pdf;2020;Same - covers entire jurisdiction and nothing else;public
40;City of New Bedford, MA;http://s3.amazonaws.com/newbedford-ma/wp-content/uploads/sites/28/20191219200617/New-Bedford_MA-HMP-Final-052516.pdf;2016;Same - covers entire jurisdiction and nothing else;public
41;City of San JosÃ©, CA;https://www.sanjoseca.gov/home/showdocument?id=474;2010;Smaller - covers only part of the jurisdiction, please explain exclusions: This assessment is only for the San Jose/Santa Clara Wastewater Treatment Facility, which is operated by the City of San Jose and serves the city and surrounding cities.;public
42;Prefeitura de Palmas;http://polis.org.br/publicacoes/plano-de-acao-palmas-sustentavel/;2015;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Abarca Ã¡reas pertencentes a Palmas e a Porto Nacional. A regiÃ£o do estudo nÃ£o representa a totalidade dos 2 municÃ­pios, e sim a regiÃ£o urbanizada de Palmas, seu entorno e o distrito de Porto Nacional sendo chamada de Ãrea Conurbada de Palmas (ACP).;public
43;MedellÃ­n;Estudio Vulnerabiliad_MED.pdf;2020;Same - covers entire jurisdiction and nothing else;public
44;City of San Jose del Monte;none;2016;Same - covers entire jurisdiction and nothing else;public
45;Prefeitura de SirinhaÃ©m;ÃREA RISCO PORTO DE PEDRA, USINA OUT CARMO.pdf;2023;Smaller - covers only part of the jurisdiction, please explain exclusions: Ãrea com risco de deslizamento de massa, bairro do Outeiro do Carmo;public
46;Municipalidad de Rosario;https://www.rosario.gob.ar/inicio/sites/default/files/2022-06/Plan%20Local%20de%20Acci%C3%B3n%20Clima%CC%81tica%20Rosario%202030.pdf;2019;Same - covers entire jurisdiction and nothing else;public
47;City of Santa Cruz, CA;https://www.cityofsantacruz.com/home/showpublisheddocument/78993/637165013150570000;2019;Smaller - covers only part of the jurisdiction, please explain exclusions: 3 miles of Coastline on West Cliff Drive;public
48;City of Niigata;https://www.city.niigata.lg.jp/shisei/seisaku/seisaku/keikaku/kankyo/keikakutop/index.files/02_keikakuminaoshi202306.pdf;2023;Same - covers entire jurisdiction and nothing else;public
49;Quang Binh Province;https://vjol.info.vn/index.php/TCKHBDKH/article/view/57764/48196; ;Smaller - covers only part of the jurisdiction, please explain exclusions: Assessment of climate-related disaster risks based on community engagement for coastal communes in Quang Binh Province;public
50;Cambridgeshire County Council;https://www.cambsfire.gov.uk/community-safety/be-prepared-for-an-emergency/cambridgeshire-and-peterborough-local-resilience-forum-cplrf/top-risks-for-cambridgeshire-and-peterborough/;2023;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers Peterborough and Cambridgeshire;public
51;Prefeitura do Rio de Janeiro;C40RDJClimateChangeImpactAssessmentFINAL.pdf;2020;Same - covers entire jurisdiction and nothing else;public
52;City of West Palm Beach, FL;https://www.dropbox.com/s/vcc6c97i65fc7o0/West%20Palm%20Beach%20Climate%20Resilience%20Plan-%20February%202021.pdf?dl=0;2021;Same - covers entire jurisdiction and nothing else;public
53;Municipality of Athens;Î Î»Î·ÏÎ·Ï‚_Î•ÎºÎ¸ÎµÏƒÎ·.pdf;2011;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The environmental, social and economic impacts of climate change in Greece (for the whole country);public
54;Municipalidad de Comas;Ficha tÃ©cnica_Comas_2022_v3.doc; ;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
55;Alcaldia de Manizales;http://www.corpocaldas.gov.co/publicaciones/1598/2020/04-03/Mpios/Manizales-min.pdf;2019;Same - covers entire jurisdiction and nothing else;public
56;Swale Borough Council;https://www.kent.gov.uk/__data/assets/pdf_file/0015/111381/CCRIA-for-Kent-and-Medway-part-one-methodology-and-summary-findings.pdf;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: County Council level;public
57;Uppvidinge Municipality;https://cdn.cdp.net/cdp-production/comfy/cms/files/files/000/007/925/original/RSA_2019-280_Uppvidinge_%281%29.pdf;2019;Same - covers entire jurisdiction and nothing else;public
58;Municipalidad de CaÃ±as;PLANDE~1.PDF;2020;Same - covers entire jurisdiction and nothing else;public
59;Newcastle City Council;1.1a Economic Evaluation of Climate Change Impacts.pdf;2010;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the whole of the North East England region;public
60;Municipality of Sintra;https://protecaocivil.sintra.pt/images/servico-municipal-de-protecao-civil/planos_municipais/PlanodeContingenciaMunicipalparaasondasdecalor.pdf;2011;Same - covers entire jurisdiction and nothing else;public
61;City of St. John's, NL;https://www.stjohns.ca/en/living-in-st-johns/resources/Documents/RCSJ-Adaptation-Draft.pdf;2022;Same - covers entire jurisdiction and nothing else;public
62;TultitlÃ¡n;ATLAS DE RIESGO MUNICIPAL http://rmgir.proyectomesoamerica.org/PDFMunicipales/EdoMex/Atlas_Tultitlan_Sep2019_008.pdf;2019;Same - covers entire jurisdiction and nothing else;public
63;YaoundÃ© 4;Rapport final diagnostic des politiques et inventaires des GES de la Ville de Yaounde 4 final .pdf;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Elle couvre tous les 65 quartiers et villages de YaoundÃ© 4 ainsi toutes les limites des chefferies traditionnelles hors circonscription administrative de la municipalitÃ© de YaoundÃ© 4 . elle touche aussi la municipalitÃ© de Nkolafamba, Yaounde 3 et 5;public
64;Swale Borough Council;https://services.swale.gov.uk/assets/Climate-Change-and-Ecological-Emergency/Carbon-Trust-Report-on-Swales-Carbon-Footprint.pdf;2020;Same - covers entire jurisdiction and nothing else;public
65;Ayuntamiento de Chihuahua;http://www.chihuahua.gob.mx/atach2/anexo/anexo_09-2021_acuerdo_009-2021_actualizacion_plan_accion_climatica_municipal_2019_.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: lÃ­mite de la evaluaciÃ³n de vulnerabilidad o los riesgos climÃ¡ticos difieren del lÃ­mite de la ciudad, porque estos son consideraros mas allÃ¡ de sus limites por su influencia en los actores ambientales;public
66;The Local Government of Quezon City;https://drive.google.com/file/d/1V8xMYC0SYR1tSXbux0G0lco62q4cvdxX/view?usp=drive_link;2013;Same - covers entire jurisdiction and nothing else;public
67;San Rafael, CA;https://www.adaptingtorisingtides.org/wp-content/uploads/2020/03/ARTBayArea_Main_Report_Final_March2020_ADA.pdf;2020;"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: ""Adapting to Rising Tides Bay Area: Regional Sea Level Rise Vulnerability and Adaption Study - March 2020"" - This report covers the 9-county San Francisco Bay Area (including Marin County)";public
68;Lilongwe City Council;LIlongwecityContigencyPlanOCTOBER2021.docx, LilongweEcologicalrivercorridoractionplanJKVT1.docx;2020;Same - covers entire jurisdiction and nothing else;public
69;City of Manchester;https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/research/spf/manchester-city-pack_august-2022.pdf;2023;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Manchester is located within the 'North West' region of the UK, which includes Cheshire, Merseyside, Greater Manchester, Lancashire and Cumbria. There examples included of some of the types of weather that the region experiences;public
70;Town of Bridgewater, NS;Bridgewater_MCCAP_2013_Final.pdf;2013;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The majority of the Municipal Climate Change Action Plan covers the geographic boundaries of the Town of Bridgewater, but elements of the analysis and action planning are regional in nature, covering neighbouring municipalities.;public
71;RegiÃ³n Metropolitana de Santiago;Informe 5 PARCC RM_VERSION PRELIMINAR.pdf;2023;Same - covers entire jurisdiction and nothing else;public
72;eThekwini Municipality;https://ethekwini.maps.arcgis.com/apps/MapSeries/index.html?appid=4c59620219d343a1aec468b87aa0ffc5;2019;Same - covers entire jurisdiction and nothing else;public
73;Montes de Oca;Informe de inventario de GEI Montes de Oca 2018 (1).pdfListo (4).pdf, Informe Planes Mitigacion Montes de Oca 2018 vf (2) (1).pdf;2020;Same - covers entire jurisdiction and nothing else;public
74;Oxford City Council;https://www.oxford.gov.uk/downloads/file/1811/shotover_hill_management_plan_2014_-_2024pdf;2022;Smaller - covers only part of the jurisdiction, please explain exclusions: This covers the Shotover Hill area within the jurisdiction;public
75;Metropolitan Government of Nashville and Davidson County, TN;https://www.gnrc.org/DocumentCenter/View/1094/Draft-Report_Building-Resilience?bidId=;2016;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This climate adaptation plan for the Nashville Area MPO region (Middle Tennessee's ten counties comprising greater-Nashville metro economy) presents the results of a regional team effort, deep and broad information gathering...;public
76;Municipalidad de BelÃ©n;(IG-002) CNE Puente Cheo - BelÃ©n, Heredia_FINAL.pdf;2013;Smaller - covers only part of the jurisdiction, please explain exclusions: Estudios hechos para el cambio de puentes;public
77;City of Stockholm;Risk and vulnerability assessment - Concequences of heat waves;2019;Same - covers entire jurisdiction and nothing else;public
78;Oxford City Council;https://www.oxford.gov.uk/downloads/file/7380/adopted_oxford_local_plan_2036;2016;Same - covers entire jurisdiction and nothing else;public
79;City of Windsor, ON;Climate Change Impacts in Windsor.pdf;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Aspects of the vulnerability and risk can not be delineated to the political boundaries. As part of the consultation, regional government entities were involved (Public Health, Conservation Authority) and risks of broader scope were acknowledged.;public
80;Alcaldia de Valdivia;PACCC VALDIVIA Y MAPAS_24AGO.pdf;2023;Same - covers entire jurisdiction and nothing else;public
81;Wollongong City Council;https://www.wollongong.nsw.gov.au/__data/assets/pdf_file/0023/158450/Climate-Change-Adaptation-Plan.pdf;2021;Same - covers entire jurisdiction and nothing else;public
82;Lancashire County Council (City);LIER_Lancs_Climate_Resilience_Rep_01.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Report covers neighbouring authorities of Blackburn with Darwen and Blackpool.;public
83;City of MÃ¼nster;https://www.stadt-muenster.de/wasser/starkregengefahrenkarten;2020;Same - covers entire jurisdiction and nothing else;public
84;Kirklees Council;kirklees-climate-change-risk-vulnerability-assessment.pdf;2022;Same - covers entire jurisdiction and nothing else;public
85;Municipalidad de La UniÃ³n;Potencial del Escurrimiento.pdf, Tesis GIRD Jorge Eduardo RodrÃ­guez Campos (1).pdf, Un Ã­ndice de riesgo permitirÃ¡ medir la vulnerabilidad de los asentamientos informales de la GAM.pdf;2020;Same - covers entire jurisdiction and nothing else;public
86;Antalya Metropolitan Municipality;ABB_SECAP_EN.pdf;2022;Same - covers entire jurisdiction and nothing else;public
87;Handa City;https://www.city.handa.lg.jp/kankyo/machi/kankyo/shisaku/kankyokekaku/documents/zentai.pdf;2021;Same - covers entire jurisdiction and nothing else;public
88;City of San Diego, CA;slr-va-draft-122019.pdf;2019;Smaller - covers only part of the jurisdiction, please explain exclusions: Addresses only the coastal zone, the area exposed to the climate hazard (sea level rise) assessed;public
89;City of Florence; ;2021;Same - covers entire jurisdiction and nothing else;public
90;Pontianak;Clean_Report Adaptasi Pontianak_28032023_revZ.docx, Kajian Kerentanan Bencana Kalbar.pdf, Rencana Aksi Iklim Pontianak.pdf, SK POKJA PERUBAHAN IKLIM 2022_OKE BANGET.pdf;2023;Same - covers entire jurisdiction and nothing else;public
91;Pingtung County Government;1.1 å¤§æ½®å·žäººå·¥æ¹–+ä¼æµæ°´.pdf, 7.2 å¤§æ½®å·žäººå·¥æ¹–è¨ˆç•«.pdf;2020;Same - covers entire jurisdiction and nothing else;public
92;City of Rome;http://www.urbanistica.comune.roma.it/images/roma-resiliente/pra-gennaio2016.pdf;2016;Same - covers entire jurisdiction and nothing else;public
93;Gobierno Municipal de la Ciudad de ParanÃ¡;PLAC PARANÃ 2022.pdf;2022;Same - covers entire jurisdiction and nothing else;public
94;Ville de Montreal, QC;https://bter.maps.arcgis.com/apps/webappviewer/index.html?id=157cde446d8942d7b4367e2159942e05;2022;Same - covers entire jurisdiction and nothing else;public
95;City of Portland, OR;https://www.portland.gov/sites/default/files/2019-07/risk-vulnerabilities-assessment-press.pdf;2014;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: County scale;public
96;City of Madrid;InfVulneraCC2015VerWeb.pdf;2015;Same - covers entire jurisdiction and nothing else;public
97;City of Abidjan;https://understandrisk.org/wp-content/uploads/CIV_Abidjan-Pre%CC%81sentation-Konan-N_goran_Etude-pilote-e%CC%81valuation-risque_1996.pdf;2016;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Cette zone partielle contient des sites Ã  risque et enregistre de nombreuses catastrophes en saison pluvieuse;public
98;HÃ¸je-Taastrup Municipality;Kommende lukning af Taastrup Valby Kildeplads.pdf;2018;Same - covers entire jurisdiction and nothing else;public
99;Municipality of Ã‰vora;https://www.cm-evora.pt/wp-content/uploads/2020/06/EMAAC_Evora_2017.pdf;2017;Same - covers entire jurisdiction and nothing else;public
100;Prefeitura de Guarulhos;Plano de AdaptaÃ§Ã£o e ResiliÃªncia ClimÃ¡tica_Maio_final_entrega.docx.pdf;2022;Same - covers entire jurisdiction and nothing else;public
101;Newcastle City Council;https://www.hartlepool.gov.uk/download/downloads/id/3015/hlp05_4_a_summary_of_climate_change_risks_for_north_east_england_2012pdf.pdf;2012;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the whole of the North East England region;public
102;Reading Borough Council;https://readingcan.org.uk/wp-content/uploads/2020/10/Reading_Adaptation_Plan_Final.pdf;2019;Same - covers entire jurisdiction and nothing else;public
103;City of London (City);https://www.cityoflondon.gov.uk/services/environmental-health/climate-action/climate-resilience-adaptive-pathway-study;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Its covers the Local Authority jurisdiction boundaries and the land interests we have through our natural environment charities, including Epping Forest, North London Open Spaces, Burnham Beeches and the Commons.â€™;public
104;City of Salem, MA;https://www.mass.gov/doc/the-city-of-salem-climate-change-vulnerability-assessment-and-adaptation-plan-appendix-a/download;2013;Same - covers entire jurisdiction and nothing else;public
105;Municipalidad de Puerto Esperanza;Estrategia de AdaptaciÃ³n Puerto Esperanza.pdf, Plan de MitigaciÃ³n Puerto Esperanza.pdf;2021;Same - covers entire jurisdiction and nothing else;public
106;Tres Arroyos;PLAC Tres Arroyos 2022.pdf;2022;Same - covers entire jurisdiction and nothing else;public
107;District of North Vancouver, BC;https://www.dnv.org/sites/default/files/edocs/dnv-cwpp-update-2020.pdf;2020;Same - covers entire jurisdiction and nothing else;public
108;Jeonju City;ì œ2ì°¨ ì „ì£¼ì‹œ ê¸°í›„ë³€í™” ì ì‘ëŒ€ì±… ì„¸ë¶€ì‹œí–‰ê³„íš ìˆ˜ë¦½ ìš©ì—­ë³´ê³ ì„œv12(ì „ì£¼ì‹œ ì·¨ì•½ì„± ë° ë¦¬ìŠ¤í¬í‰ê°€ ë°œì·Œ).pdf;2020;Same - covers entire jurisdiction and nothing else;public
109;Municipalidad de Providencia;Providencia - 20200623 PLAN DE ACCIÃ“N PARA EL CLIMA Y LA ENERGÃA SOSTENIBLE 2020-2030.pdf;2020;Same - covers entire jurisdiction and nothing else;public
110;City of Windsor, ON;Council Report Vulnerability and Risks 2012.pdf;2011;Same - covers entire jurisdiction and nothing else;public
111;City of Greensboro, NC;https://www.guilfordcountync.gov/home/showpublisheddocument/7053/638142595885870000;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers entirety of Guilford County, NC and 10 municipalities therein: Gibsonville, Greensboro, High Point, Jamestown, Oak Ridge, Pleasant Garden, Sedalia, Stokesdale, Summerfield, and Whitsett;public
112;Changwon City;(ìµœì¢…)ì œ2ì°¨ ì°½ì›ì‹œ ê¸°í›„ë³€í™” ì ì‘ëŒ€ì±… ì„¸ë¶€ì‹œí–‰ê³„íš(2021-2025)_ë””ìžì¸ìµœì¢…ë³¸.pdf;2021;Same - covers entire jurisdiction and nothing else;public
113;City of Saint John, NB;ACAP_Climate+Change+Report_final+PDF-comp2.pdf;2020;Same - covers entire jurisdiction and nothing else;public
114;Wuhan Municipal People's Government; ;2020;Same - covers entire jurisdiction and nothing else;public
115;Wandsworth Council;https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1047003/climate-change-risk-assessment-2022.pdf;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This is the UK wide assessment, which covers our own jurisdiction and all other local authority areas in the UK;public
116;Nottingham City Council;http://irep.ntu.ac.uk/id/eprint/43355/1/1448006_Poberezhskaya.pdf;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: UK Climate Projections 2018 (UKCP18) at a 25km scale used for this study, which is slightly larger than the Nottingham city urban area (incorporating adjoining areas).;public
117;Municipalidad de BelÃ©n;Plan de acciÃ³n_CantonBelÃ©n_RCentral.pdf;2022;Same - covers entire jurisdiction and nothing else;public
118;City of Kitakyushu;https://www.city.kitakyushu.lg.jp/files/000944327.pdf;2020;Same - covers entire jurisdiction and nothing else;public
119;Municipio de Iztapa;Diag_muni_Iztapa.pdf;2021;Same - covers entire jurisdiction and nothing else;public
120;City of Toronto, ON;https://www.toronto.ca/wp-content/uploads/2023/05/8f1c-Heat-Relief-Strategy-2023finalAODA.pdf;2023;Same - covers entire jurisdiction and nothing else;public
121;Subang Jaya;23. Strategic Plan for Disaster Risk and Response Subang Jaya Bahasa Malaysia.pdf;2022;Same - covers entire jurisdiction and nothing else;public
122;Municipality of Santa Catarina;1. ATLAS DE RIESGOS _compressed (2).pdf;2019;Same - covers entire jurisdiction and nothing else;public
123;City of Zadar;SECAP_Zadar.pdf;2021;Same - covers entire jurisdiction and nothing else;public
124;Municipality of Sintra;https://apambiente.pt/sites/default/files/_SNIAMB_Agua/DLPC/POC/POC_A-CE/3_POCACE_Relatorio.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The area of jurisdiction of the Administration of the Hydrographic Region of the Tagus and West, the municipalities of AlcobaÃ§a, NazarÃ©, Caldas da Rainha, Ã“bidos, Peniche, LourinhÃ£, Torres Vedras, Mafra, Sintra, Cascais, Almada and Sesimbra.;public
125;Alajuela;COMPENDIO DE INFORMACIÃ“N Y BASE DE DATOS DE LA MUNICIPALIDAD DE ALAJUELA_ DIAGNÃ“STICO .pdf, CONTRATACIÃ“N DIRECTA NÂ°2018CD-000002-01_Informe final_ Municipalidad Alajuela.pdf;2012;Same - covers entire jurisdiction and nothing else;public
126;Gorontalo Regency;https://drive.google.com/file/d/1ur-hmXWpLGKStI8AubbsWLemFIQTohxZ/view?usp=sharing;2017;Same - covers entire jurisdiction and nothing else;public
127;Prefeitura Municipal de Boa Vista;http://www.cprm.gov.br/publique/Gestao-Territorial/Geologia-de-Engenharia-e-Riscos-Geologicos/Cartas-de-Suscetibilidade-a-Movimentos-Gravitacionais-de-Massa-e-Inundacoes-3507.html;2017;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Ãrea urbana e Rural;public
128;City of Columbia, MO;https://www.como.gov/wp-content/uploads/2020/11/CoMoCAAP_VAfactsheets_OpenSpace_final.pdf;2018;Same - covers entire jurisdiction and nothing else;public
129;Sheffield City Council;MO_City_Pack_Sheffield.pdf;2022;Same - covers entire jurisdiction and nothing else;public
130;City of Prairie Village, KS;3.1.1 Climate Scenario Summary.pdf;2023;Same - covers entire jurisdiction and nothing else;public
131;Municipalidad de PeÃ±alolÃ©n;6. SECAP PEÃ‘ALOLEN.pdf;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Considera toda la comuna de PeÃ±alolÃ©n. Abraca la comuna y parÃ¡metros de la Ciudad y RegiÃ³n Metropolitana;public
132;New Taipei City Government;1.1a7.1aNewTaipeiCityClimateActionPlan2020.pdf;2020;Same - covers entire jurisdiction and nothing else;public
133;Concordia;Plan Local de AcciÃ³n ClimÃ¡tica PLAC Concordia 2020-2030.pdf;2020;Same - covers entire jurisdiction and nothing else;public
134;Ayuntamiento de Apodaca;https://www.apodaca.gob.mx/atlas;2020;Same - covers entire jurisdiction and nothing else;public
135;Zhenjiang Municipal People's Government;http://sthj.zhenjiang.gov.cn/sthj/qyydqhdwhz/202210/5b53a8ef43b04fc5a8c5b948166b8bcb.shtml;2022;Same - covers entire jurisdiction and nothing else;public
136;Tel Aviv-Yafo Municipality;emergency service calls in the years 2015-2022.pdf;2020;Same - covers entire jurisdiction and nothing else;public
137;HÃ¸je-Taastrup Municipality;Grundvand.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
138;FokouÃ©;Ã‰VALUATION DE LA VULNÃ‰RABILITÃ‰ ET DES RISQUES_FOKOUE.pdf;2021;Same - covers entire jurisdiction and nothing else;public
